id,product_name,price,stock,vendor,date_added
1001,Laptop Dell XPS,18500000,15,Dell Indonesia,2023-01-15
1002,MacBook Air M2,21000000,8,Apple Authorised,2023-02-20
1003,Logitech Mouse G502,1200000,45,Logitech Official,2023-03-05
1004,Keychron K2,1500000,12,,2023-03-10
1005,Samsung Monitor 27,3500000,20,Samsung Parts,12/04/2023
1006,Asus ROG Phone,12000000,5,Asus Global,2023-05-22
1007,Iphone 14 Pro,19000000,10,Apple Authorised,2023-06-01
1008,Sony WH-1000XM5,4500000,18,Sony Audio,07-15-2023
1009,SteelSeries Apex,2500000,7,SteelSeries Indo,2023-08-10
1010,WD External 1TB,900000,50,WD Storage,2023-08-12
1011,Razer Deathadder,800000,30,Razer Official,2023-09-01
1012,iPad Pro 11,15500000,6,Apple Authorised,2023-09-15
1013,Epson L3210,2400000,14,,2023-10-02
1014,Bose QuietComfort,3800000,11,Bose Retail,2023-10-10
1015,Canon EOS R10,14000000,3,Canon Optic,11/20/2023
1016,HyperX Cloud II,1300000,25,HyperX Gaming,2023-11-25
1017,Nintendo Switch,4200000,9,Nintendo ID,2023-12-05
1018,PlayStation 5,8500000,4,Sony Entert,2023-12-12
1019,Xbox Series S,4500000,12,Microsoft Store,2023-12-20
1020,Kindle Paperwhite,2100000,15,Amazon Global,2023-12-25
1021,GoPro Hero 11,7500000,10,GoPro Indo,2024-01-05
1022,DJI Mini 3 Pro,12000000,5,DJI Official,01/10/2024
1023,TP-Link Router,450000,40,TP-Link Store,2024-01-15
1024,Corsair RAM 16GB,1100000,22,,2024-01-20
1025,Samsung S23 Ultra,17500000,7,Samsung Parts,2024-02-01
1026,MSI Optix G24,2800000,15,MSI Gaming,02-14-2024
1027,GSkill Trident Z,1800000,20,GSkill Indo,2024-02-25
1028,Seagate IronWolf,3200000,12,Seagate Official,2024-03-01
1029,Crucial P5 SSD,1400000,30,Crucial Tech,03/15/2024
1030,Gigabyte RTX 3060,5500000,4,Gigabyte Indo,2024-03-20
1031,Be Quiet Cooler,1100000,18,BeQuiet Official,2024-04-01
1032,NZXT H510 Case,1300000,10,NZXT Store,04-05-2024
1033,EVGA Supernova,1900000,8,,2024-04-12
1034,Zotac Magnus EN,14000000,2,Zotac Official,2024-04-20
1035,Palit RTX 4070,10500000,6,Palit Tech,2024-05-01
1036,Inno3D GTX 1650,2200000,25,Inno3D Indo,05/10/2024
1037,Aorus Master Z790,6800000,4,Aorus Gaming,2024-05-15
1038,ASRock B550M,1500000,40,ASRock Official,2024-05-22
1039,Lian Li Uni Fan,450000,60,Lian Li Store,2024-06-01
1040,Phanteks Evolv,2500000,5,Phanteks Indo,06-12-2024
1041,Thermaltake Tough,1700000,12,Thermaltake Off,2024-06-20
1042,Cooler Master MWE,950000,35,Cooler Master ID,2024-07-01
1043,Silverstone SFX,1800000,9,,2024-07-05
1044,FSP Hydro G Pro,1600000,14,FSP Power,07/15/2024
1045,Seasonics Focus,2100000,10,Seasonic Official,2024-07-25
1046,Deepcool AK620,950000,20,Deepcool Indo,2024-08-01
1047,Noctua NH-D15,1600000,7,Noctua Tech,08-10-2024
1048,Arctic P12 Fan,150000,100,Arctic Official,2024-08-15
1049,Scythe Fuma 2,1100000,15,Scythe Indo,2024-08-22
1050,ID-Cooling SE,450000,50,ID-Cooling Store,2024-09-01
1051,Western Digital Blue,850000,40,WD Storage,2024-09-05
1052,Kingston A400,450000,80,Kingston Official,09/12/2024
1053,SanDisk Ultra,1200000,25,SanDisk Indo,2024-09-20
1054,TeamGroup Elite,950000,30,TeamGroup Store,2024-09-25
1055,Silicon Power,750000,45,,2024-10-01
1056,Patriot Viper,1400000,18,Patriot Official,10-05-2024
1057,ADATA XPG,1800000,22,ADATA Tech,2024-10-10
1058,Hikvision E100,400000,60,Hikvision Store,2024-10-15
1059,Lexar NM620,1100000,20,Lexar Official,10/22/2024
1060,Pioneer SSD,900000,35,Pioneer Indo,2024-10-30
1061,Transcend Jet,1600000,12,Transcend Official,2024-11-01
